mz,int
872.292930420733,3.697062876689821e-19
872.297941023628,3.051720964738314e-17
872.3029516265232,5.008158624389688e-15
872.3079622294182,2.4380915293297304e-13
872.3129728323132,8.727149879984455e-12
872.3179834352084,2.435751949645752e-10
872.3229940381034,5.316214606409899e-09
872.3280046409984,1.4885000701422045e-07
872.3330152438936,1.776264335928401e-06
872.3380258467886,2.311468412993514e-05
872.3430364496836,0.00017838231778806665
872.3480470525787,0.0011123760441693505
872.3530576554738,0.0054436878491841804
872.3580682583688,0.022707975172891002
872.363078861264,0.06455069227467558
872.368089464159,0.19689012230310504
872.373100067054,0.2964108504150528
872.3781106699491,0.3932359797256824
872.3831212728442,0.40039333435887176
872.3881318757392,0.3184078239821266
872.3931424786343,0.2190369446535957
872.3981530815294,0.0719442842289465
872.4031636844244,0.024414171252941538
872.4081742873195,0.006412599045925727
872.4131848902146,0.001264392293766452
872.4181954931096,0.00019203337443439994
872.4232060960047,2.3638257545017982e-05
872.4282166988997,1.1589687752423073e-06
872.4332273017948,7.698206598313855e-08
872.4382379046899,3.95605478483523e-09
872.4432485075849,1.4096769179984495e-10
872.44825911048,4.0720854294579466e-12
872.4532697133751,9.356156602226195e-14
872.4582803162701,7.107076345658622e-16
872.4632909191653,9.356405557567645e-18
872.4683015220603,7.102818888077008e-20
872.4733121249553,5.275083024564478e-22
872.4783227278505,2.885527452237737e-24
872.4833333307455,5.313309669267083e-27
872.4883439336405,1.806698476586534e-29
872.4933545365357,4.7530946700570287e-32
872.4983651394307,4.594400183238112e-35
872.5033757423257,6.55476712328586e-38
872.5083863452209,6.775283268774744e-41
872.5133969481159,2.856503819914554e-44
872.5184075510109,1.9210998198308133e-47
872.523418153906,9.944797049806106e-51
872.5284287568011,9.952427533955697e-55
872.5334393596961,2.5611068991644978e-58
872.5384499625912,5.400570918185902e-62
872.5434605654863,5.684936413893531e-66
872.5484711683813,7.350585854868037e-70
872.5534817712764,1.0516987315946945e-74
872.5584923741715,7.217612267358591e-79
872.5635029770665,3.577587380971505e-83
872.5685135799616,1.4481839431384091e-87
872.5735241828567,3.5811815036722636e-92
872.5785347857517,8.742124377947831e-97
872.5835453886468,1.2952618620799668e-102
872.5885559915419,1.694388656192591e-107
872.5935665944369,1.6175714510947034e-112
872.598577197332,1.1007815234678801e-117
872.603587800227,6.585613008177027e-123
872.6085984031221,3.013305131894432e-128
872.6136090060172,4.9434343820228954e-135
872.6186196089122,1.1770067951267464e-140
872.6236302118073,2.2326975436086564e-146
872.6286408147024,3.0636086167254232e-152
872.6336514175974,3.4273209585100394e-158
872.6386620204925,9.18884098004956e-166
872.6436726233876,5.581063095628796e-172
872.6486832262826,2.5256549530332127e-178
872.6536938291778,8.992608168343934e-185
872.6587044320728,2.3883165823813456e-191
872.6637150349678,4.990270714974709e-198
872.668725637863,1.5890927172138338e-206
872.673736240758,1.8082058797091037e-213
872.678746843653,1.5454900332310866e-220
872.6837574465482,1.0160669759260657e-227
873.0795950752583,2.5147458576231525e-225
873.0846056781534,3.3936464935596973e-218
873.0896162810484,3.5031795445848486e-211
873.0946268839435,2.7662558781755087e-204
873.0996374868386,1.6709336446379293e-197
873.1046480897336,3.4327202713218936e-189
873.1096586926287,1.134808976611255e-182
873.1146692955238,2.8696658390128188e-176
873.1196798984188,5.5512548786511404e-170
873.1246905013139,8.2149794630484e-164
873.129701104209,9.29997570463785e-158
873.134711707104,2.3558618640114546e-150
873.1397223099991,1.4600228191086188e-144
873.1447329128941,6.920965457776411e-139
873.1497435157892,2.5099104285682156e-133
873.1547541186843,6.963724367476011e-128
873.1597647215793,3.0412133428204315e-121
873.1647753244744,4.618651494352502e-116
873.1697859273695,5.3707800307033835e-111
873.1747965302645,4.775423633015369e-106
873.1798071331596,3.248864754426636e-101
873.1848177360547,1.6912611888150355e-96
873.1898283389497,9.111558971582161e-91
873.1948389418448,2.6023203005992816e-86
873.1998495447399,5.677892137647251e-82
873.2048601476349,9.480865052397029e-78
873.2098707505301,1.2116554360090679e-73
873.2148813534251,1.1852557199314302e-69
873.2198919563201,7.870952783024615e-65
873.2249025592153,4.246189017216601e-61
873.2299131621103,1.7433871874755713e-57
873.2349237650053,5.481379076615817e-54
873.2399343679004,1.3199455057622186e-50
873.2449449707955,1.505717661801833e-46
